Club_Name,Logo_URL,Mail_ID,Website_Link
CivSoc,https://my.ussu.co.uk/activity/PublishingImages/Logos/CivSoc%20Logo.jpg,ussu.civsoc@surrey.ac.uk,https://otterbravohouse.wixsite.com/civsocsurrey
CompSoc,https://my.ussu.co.uk/activity/PublishingImages/Comp%20Soc.png,ussu.computing@surrey.ac.uk,https://surreycompsoc.org/
Concert Band,https://my.ussu.co.uk/activity/PublishingImages/Logos/Concertband%20Logos.png,ussu.concertband@surrey.ac.uk,https://surreyunion.org/concertband
Consulting Society,https://my.ussu.co.uk/activity/PublishingImages/Logos/Consulting%20logo.jpeg,ussu.consulting@surrey.ac.uk,https://surreyunion.org/Consulting
CRAFTsoc,https://my.ussu.co.uk/activity/PublishingImages/Logos/Craft.jpg,ussu.craftsoc@surrey.ac.uk,https://surreyunion.org/craftsociety
Cricket,https://my.ussu.co.uk/activity/PublishingImages/Logos/Cricket%20-%20SSPSportsIcons.jpg,Ussu.Cricket@surrey.ac.uk,https://surreyunion.org/cricket
Crochet Society,https://my.ussu.co.uk/activity/_layouts/15/DocIdRedir.aspx?ID=USSU-2445-580,ussu.crochetsoc@surrey.ac.uk,http://surreyunion.org/crochetsociety
Cube Society,https://my.ussu.co.uk/activity/PublishingImages/Logos/CUBESOC%20LOGO%20CLRBG%20PNG.png,m17945,https://surreyunion.org/cube
Cycling and Triathlon,https://my.ussu.co.uk/activity/PublishingImages/Logos/Triathlon.PNG,ussu.triathlon@surrey.ac.uk,https://surreyunion.org/Triathlon
Dance Squad,https://my.ussu.co.uk/activity/PublishingImages/Logos/Dance%20-%20SSPSportsIcons.jpg,Ussu.SurreyDance@surrey.ac.uk,https://surreyunion.org/dancesquad
Debating Society,https://my.ussu.co.uk/activity/PublishingImages/Surrey_Debating_logo_2018%20copy.png,ussu.debating@surrey.ac.uk,https://surreyunion.org/DebatingSociety
Disney,https://my.ussu.co.uk/activity/PublishingImages/Logos/Disney.png,ussu.disney@surrey.ac.uk,https://surreyunion.org/DisneySoc
Dodgeball,https://my.ussu.co.uk/activity/PublishingImages/Logos/Dodgeball%20Logo.jpg,Ussu.Dodgeball@surrey.ac.uk,https://surreyunion.org/Dodgeball
EARS,https://my.ussu.co.uk/activity/PublishingImages/Logos/EARS.jpg,ussu.ears@surrey.ac.uk,https://surreyunion.org/ears
Economics and Finance Society (EFS),https://my.ussu.co.uk/activity/PublishingImages/EFS%20Logo%20for%20Clubs%20and%20Societies%20SU%20Page_n.jpg,ussu.surreyefs@surrey.ac.uk,https://surreyunion.org/EconomicsAndFinance/
Enactus,https://my.ussu.co.uk/activity/PublishingImages/Logos/Enactus.jpg,ussu.sife@surrey.ac.uk,https://surreyunion.org/enactus
Equestrian Club,https://my.ussu.co.uk/activity/PublishingImages/Logos/Equesterian%20-%20SSPSportsIcons.jpg,Ussu.Equestrian@surrey.ac.uk,https://surreyunion.org/equestrian
Fencing,https://my.ussu.co.uk/activity/PublishingImages/Logos/Fencing%20-%20SSPSportsIcons.jpg,Ussu.Fencing@surrey.ac.uk,https://surreyunion.org/fencing
Filipino,https://my.ussu.co.uk/activity/PublishingImages/Logos/SFS%20logo.jpg,ussu.filipino@surrey.ac.uk,https://surreyunion.org/FilipinoSociety
Film Soc,https://my.ussu.co.uk/activity/PublishingImages/FilmSoc.jpg,ussu.film@surrey.ac.uk,https://surreyunion.org/FilmSoc
Football – Mens,https://my.ussu.co.uk/activity/PublishingImages/Logos/Men’s%20Football%20-%20SSPSportsIcons.jpg,Ussu.MensFootball@surrey.ac.uk,https://surreyunion.org/MensFootball
Football – Womens,https://my.ussu.co.uk/activity/PublishingImages/Logos/Ladies%20Football%20-%20SSPSportsIcons.jpg,Ussu.LadiesFootball@surrey.ac.uk,https://surreyunion.org/WomensFootball
Formula One Society,https://my.ussu.co.uk/activity/PublishingImages/SURREY%20F1%20SOCIETY%20LOGO.png,m17510@surrey.ac.uk,https://surreyunion.org/FormulaOne
Formula Student,https://my.ussu.co.uk/activity/PublishingImages/Logos/Untitled%20design.jpg,ussu.formulastudent@surrey.ac.uk,https://surreyunion.org/FormulaStudent
GameSoc,https://my.ussu.co.uk/activity/PublishingImages/Logos/GameSoc.jpeg,ussu.gamesoc@surrey.ac.uk,https://surreyunion.org/gamesoc
Golf,https://my.ussu.co.uk/activity/PublishingImages/Logos/Golf%20-%20SSPSportsIcons.jpg,Ussu.Golf@surrey.ac.uk,https://surreyunion.org/golf
GSA Society,,ussu.gsasoc@surrey.ac.uk,http://surreyunion.org/gsasociety
Gymnastics,https://my.ussu.co.uk/activity/PublishingImages/Logos/Gymnastics.jpg,ussu.gymnastics@surrey.ac.uk,https://surreyunion.org/gymnastics
Hindu Society,https://my.ussu.co.uk/activity/PublishingImages/Hindu%20Society%20Logo.jpg,Ussu.hindusoc@surrey.ac.uk,https://surreyunion.org/HinduSoc/
Hispanic Society,https://my.ussu.co.uk/activity/PublishingImages/Logos/Hispanic%20Society%20Logo.jpg,ussu.hispanic@surrey.ac.uk,https://surreyunion.org/hispanic
HKPASS,https://my.ussu.co.uk/activity/PublishingImages/Logos/HK%20Pass%20Logo.jpg,ussu.hkpass@surrey.ac.uk,https://surreyunion.org/hkpass
Hockey,https://my.ussu.co.uk/activity/PublishingImages/Hockey%20Club.jpg,Ussu.Hockey@surrey.ac.uk,https://surreyunion.org/Hockey
Hong Kong Society,https://my.ussu.co.uk/activity/PublishingImages/Image%20(6).jpeg,M14073@surrey.ac.uk ,https://surreyunion.org/hongkong
Ice Skating,https://my.ussu.co.uk/activity/PublishingImages/Logos/Ice%20Skating%20Logo%20Final.jpg,ussu.iceskating@surrey.ac.uk,https://surreyunion.org/iceskating
Indian Students Association (ISA),https://my.ussu.co.uk/activity/PublishingImages/ISA%20Logo.jpg,ussu.isa@surrey.ac.uk,https://surreyunion.org/indianstudentsassociation
Japanese,https://my.ussu.co.uk/activity/PublishingImages/Logos/Japenese%20Soc%20Logo.png,ussu.japanese@surrey.ac.uk,https://surreyunion.org/japaneseSociety
Jazz Orchestra,https://my.ussu.co.uk/activity/PublishingImages/Logos/Jazz.jpg,ussu.jazzorchestra@surrey.ac.uk,https://surreyunion.org/JazzBand
Jiu Jitsu,https://my.ussu.co.uk/activity/PublishingImages/Logos/Jitsu%20Logo.jpg,Ussu.JiuJitsu@surrey.ac.uk,https://www.surreyjitsu.org/
J-Soc,https://my.ussu.co.uk/activity/PublishingImages/Logos/Jewish%20Society.jpeg,ussu.j-soc@surrey.ac.uk,https://activity.ussu.co.uk/j-soc
Judo,https://my.ussu.co.uk/activity/PublishingImages/Logos/Judo%20-%20SSPSportsIcons.jpg,Ussu.Judo@surrey.ac.uk,https://surreyunion.org/judo
Kannada Society,,ussu.kannadasoc@surrey.ac.uk,http://surreyunion.org/kannadasociety
Karting Club,https://my.ussu.co.uk/activity/resources/PublishingImages/Team%20Surrey%20Karting%20Club%20Logo%20-%20SHADE%20-%20SQUARE.png,ussu.karting@surrey.ac.uk,https://surreyunion.org/karting
KISS,https://my.ussu.co.uk/activity/PublishingImages/Logos/KISS%20Logo%20201718.jpg,ussu.kiss@surrey.ac.uk,https://surreyunion.org/Korean
Krishna Consciousness Society,https://my.ussu.co.uk/activity/PublishingImages/Union%20societies%20logo.png,Ussu.krishna@surrey.ac.uk,https://surreyunion.org/KrishnaConsciousnessSociety/
Kuwaiti,https://my.ussu.co.uk/activity/PublishingImages/Logos/Kuwaiti%20.jpg,ussu.kuwaiti@surrey.ac.uk,https://activity.ussu.co.uk/kuwaiti
Lacrosse,https://my.ussu.co.uk/activity/PublishingImages/Logos/Lacrosse%20-%20SSPSportsIcons.jpg,Ussu.Lacrosse@surrey.ac.uk,https://surreyunion.org/lacrosse
Law Society,https://my.ussu.co.uk/activity/PublishingImages/Logos/LawSoc%20Logo%202.png,ussu.law@surrey.ac.uk,https://surreyunion.org/LawSociety
LGBT+,https://my.ussu.co.uk/activity/PublishingImages/LGBTSoc_Transparent.png,ussu.lgbtplus@surrey.ac.uk,https://surreyunion.org/LGBTPlus
LitSoc,https://my.ussu.co.uk/activity/PublishingImages/Logos/English%20Lit%20Logo.jpg,ussu.englishlit@surrey.ac.uk,https://surreyunion.org/EnglishLitSociety/
MADSoc (Music and Drama Society),https://my.ussu.co.uk/activity/PublishingImages/Logos/Madsoc.jpg,ussu.madsoc@surrey.ac.uk,https://surreyunion.org/MADSoc
Mah Jong,https://my.ussu.co.uk/activity/PublishingImages/Mahjong%20Society%20LOGO.png,ussu.mahjong@surrey.ac.uk,https://surreyunion.org/mahjong
Malaysian Society,https://my.ussu.co.uk/activity/PublishingImages/Logos/Malaysian%20Soc%20Logo.jpg,ussu.mss@surrey.ac.uk,https://surreyunion.org/malaysianstudentssociety
Mallu Society,https://my.ussu.co.uk/activity/PublishingImages/Mallu%20logo.jpeg,mallisoc@ussu.surrey.ac.uk,https://surreyunion.org/mallu
Maths Society,https://my.ussu.co.uk/activity/PublishingImages/Logos/Maths.jpg,ussu.mathsoc@surrey.ac.uk,https://surreyunion.org/mathssociety
Men Futsal,https://my.ussu.co.uk/activity/PublishingImages/Logos/Futsal%20-%20SSPSportsIcons.jpg,Ussu.Futsal@surrey.ac.uk,https://surreyunion.org/futsal
Mid Soc,https://my.ussu.co.uk/activity/PublishingImages/Logos/MIDSOC%20LOGO%20-%20Dark%20purple%20and%20White.png,ussu.midwifery@surrey.ac.uk,https://surreyunion.org/MidwiferySociety/
Mixed Martial Arts,https://my.ussu.co.uk/activity/PublishingImages/Logos/Mixed%20Martial%20Arts%20-%20SSPSportsIcons.jpg,Ussu.MMA@surrey.ac.uk,https://surreyunion.org/mma
Model United Nations Society,https://my.ussu.co.uk/activity/PublishingImages/Logos/ModelUN%20Logo.jpg,ussu.mun@surrey.ac.uk,https://surreyunion.org/modelun
Mountaineering,https://my.ussu.co.uk/activity/PublishingImages/Logos/Mountaineering%20-%20SSPSportsIcons.jpg,Ussu.Mountaineering@surrey.ac.uk,https://surreyunion.org/mountaineering
Musical Theatre Society,https://my.ussu.co.uk/activity/PublishingImages/_t/Musical_Theatre_Society_png.jpg,ussu.musicaltheatre@surrey.ac.uk,https://surreyunion.org/MusicalTheatreSociety
Nepalese Society,https://my.ussu.co.uk/activity/PublishingImages/Logos/Nepalese.jpg,ussu.nepalese@surrey.ac.uk,https://surreyunion.org/NepaleseSociety
Netball,https://my.ussu.co.uk/activity/PublishingImages/Logos/Netball%20-%20SSPSportsIcons.jpg,Ussu.Netball@surrey.ac.uk,https://surreyunion.org/netball
Nigerian Society,https://my.ussu.co.uk/activity/PublishingImages/Logos/NgSOC%20Logo%20(1).jpg,ussu.nigerian@surrey.ac.uk,https://surreyunion.org/Nigerian
No Wave,https://my.ussu.co.uk/activity/PublishingImages/Logos/No%20Wave%20Logo.png,ussu.nowave@surrey.ac.uk,https://surreyunion.org/nowave
NURSOC,https://my.ussu.co.uk/activity/PublishingImages/NursSoc.jpg,ussu.nursing@surrey.ac.uk,https://surreyunion.org/NursingSociety
Nutrition and Dietetics,,ussu.nutsoc@surrey.ac.uk,https://surreyunion.org/NutritionndDieteticsSociety/
Opa Surrey,,ussu.opasurrey@surrey.ac.uk,http://surreyunion.org/opasurrey
Pakistani Society,,ussu.pakistani@surrey.ac.uk,https://surreyunion.org/Pakistani/
Paramedic Society,https://my.ussu.co.uk/activity/PublishingImages/parasoc%20logo%20(1).png,ussu.paramedics@surrey.ac.uk,https://surreyunion.org/paramedicsociety
PetSoc,https://my.ussu.co.uk/activity/PublishingImages/PetSoc%20logo%20(1)%20(1).png,ussu.petsoc@surrey.ac.uk,https://surreyunion.org/petsoc
PhotoSoc,https://my.ussu.co.uk/activity/PublishingImages/Logos/PhotoSoc%20Logo.png,ussu.photographic@surrey.ac.uk,https://www.photosocsurrey.com/
Physoc,https://my.ussu.co.uk/activity/PublishingImages/Logos/Physics%20Soc.jpg,ussu.physics@surrey.ac.uk,https://surreyunion.org/PhysicsSociety
Poker Society,https://my.ussu.co.uk/activity/PublishingImages/new%20logo.jpg,ussu.poker@surrey.ac.uk,https://surreyunion.org/PokerSociety
Pole Fitness,https://my.ussu.co.uk/activity/PublishingImages/Logos/Pole.jpg,ussu.poledancing@surrey.ac.uk,https://surreyunion.org/PoleFitness/
Polish Society,https://my.ussu.co.uk/activity/_layouts/15/DocIdRedir.aspx?ID=USSU-2445-584,ussu.polishsoc@surrey.ac.uk,http://surreyunion.org/polishsociety
Politics Society,https://my.ussu.co.uk/activity/PublishingImages/Logos/Politics%20society%20logo.png,ussu.politics@surrey.ac.uk,https://surreyunion.org/PoliticsSociety
Polo Club,,ussu.polo@surrey.ac.uk,http://surreyunion.org/
Pool and Snooker,https://my.ussu.co.uk/activity/PublishingImages/Logos/Pool%20Snooker%20-%20SSPSportsIcons.jpg,ussu.pool@surrey.ac.uk,https://surreyunion.org/PoolSnooker
Post-Graduate Society,https://my.ussu.co.uk/activity/PublishingImages/Logos/Post%20Grad.jpg,ussu.pgs@surrey.ac.uk,https://surreyunion.org/postgrad
Powerlifting And Weightlifting,https://my.ussu.co.uk/activity/PublishingImages/Logos/USWC.jpg,ussu.lifting@surrey.ac.uk,https://surreyunion.org/PowerliftingAndWeightlifting
Presha,https://my.ussu.co.uk/activity/PublishingImages/Logos/Presha%20logo.jpg,ussu.presha@surrey.ac.uk,https://activity.ussu.co.uk/presha
Psychology,https://my.ussu.co.uk/activity/PublishingImages/Logos/Psych.jpg,ussu.psychology@surrey.ac.uk,https://surreyunion.org/psychology
Rifle,https://my.ussu.co.uk/activity/PublishingImages/Logos/Rifle%20SSP%20Logo.jpg,ussu.rifle@surrey.ac.uk,https://surreyunion.org/rifle
Rugby,https://my.ussu.co.uk/activity/PublishingImages/Logos/Rugby%20Union%20-%20SSPSportsIcons.jpg,Ussu.Rugby@surrey.ac.uk,https://surreyunion.org/Rugby
Rugby – Women’s,https://my.ussu.co.uk/activity/PublishingImages/Logos/Rugby%20Union%20-%20SSPSportsIcons.jpg,ussu.womensrugby@surrey.ac.uk,https://surreyunion.org/Women'sRugby/
Running and Athletics,https://my.ussu.co.uk/activity/PublishingImages/Logos/Running%20%20Athletics%20-%20SSPSportsIcons.jpg,ussu.athleticsandcrosscountry@surrey.ac.uk,https://surreyunion.org/running
Russian Speakers Society,https://my.ussu.co.uk/activity/PublishingImages/Logos/Russian%20Speakers.jpg,ussu.russianspeakers@surrey.ac.uk,https://surreyunion.org/russianspeakers
Sailing,https://my.ussu.co.uk/activity/PublishingImages/Logos/Sailing%20-%20SSPSportsIcons.jpg,Ussu.Sailing@surrey.ac.uk,https://surreyunion.org/sailing
Salsa Society,https://my.ussu.co.uk/activity/PublishingImages/salsa-logo-01.jpg,ussu.salsa@surrey.ac.uk,https://surreyunion.org/SalsaSociety
Saudi Society,,ussu.saudisoc@surrey.ac.uk,http://surreyunion.org/saudisociety
Scuba Soc,https://my.ussu.co.uk/activity/PublishingImages/Scuba_logo.png,Ussu.Subaqua@surrey.ac.uk,https://surreyunion.org/SubAqua
Sikh Society,https://my.ussu.co.uk/activity/PublishingImages/Logos/Sikh.jpg,ussu.sikh@surrey.ac.uk,https://activity.ussu.co.uk/sikh
Singaporean Society,https://my.ussu.co.uk/activity/PublishingImages/Logos/Singapore.jpg,ussu.singapore@surrey.ac.uk,https://surreyunion.org/SingaporeSociety
SnowSports,https://my.ussu.co.uk/activity/PublishingImages/Logos/Snowsports%20-%20SSPSportsIcons.jpg,Ussu.Snowsports@surrey.ac.uk,https://surreyunion.org/snowsports
Socialist Society,https://my.ussu.co.uk/activity/resources/PublishingImages/Socialist%20Society%20Logo.png,ussu.socialistsoc@surrey.ac.uk,http://surreyunion.org/socialistsociety
Sociology Society,https://my.ussu.co.uk/activity/_layouts/15/DocIdRedir.aspx?ID=USSU-2445-586,ussu.socsoc@surrey.ac.uk,https://surreyunion.org/SociologySociety
Squash,https://my.ussu.co.uk/activity/PublishingImages/Logos/Squash%20-%20SSPSportsIcons.jpg,Ussu.Squash@surrey.ac.uk,https://surreyunion.org/squash
Stag Radio,https://my.ussu.co.uk/activity/PublishingImages/Logos/Stag%20Radio.jpg,ussu.stagradio@surrey.ac.uk,http://stagradio.com/
Stage Crew,https://my.ussu.co.uk/activity/PublishingImages/Logos/Stage%20Crew.jpg,ussu.crew@surrey.ac.uk,https://surreyunion.org/stagecrew
StagTV,https://my.ussu.co.uk/activity/PublishingImages/ussu_stagtv.png,ussu.stagtv@surrey.ac.uk,https://stagtv.co.uk
String Orchestra,https://my.ussu.co.uk/activity/PublishingImages/Logos/StringOrchestras.jpg,ussu.stringorchestra@surrey.ac.uk,https://surreyunion.org/stringorchestra
Student Energy Society,,ussu.studentenergy@surrey.ac.uk,http://surreyunion.org/studentenergy
Surf Club,https://my.ussu.co.uk/activity/PublishingImages/Surf%20Logo.png,Ussu.Surf@surrey.ac.uk,https://surreyunion.org/Surf
Surrey Business Society,https://my.ussu.co.uk/activity/PublishingImages/Logos/BusinessSoc_Logo.png,ussu.bizsoc@surrey.ac.uk,https://surreyunion.org/BusinessSociety
Surrey Calisthenics Society,,ussu.calisthenics@surrey.ac.uk,http://surreyunion.org/surreycalisthenicssociety
Surrey First Aid,https://my.ussu.co.uk/activity/resources/PublishingImages/FAS%20UoS%20Logo%20Design.jpeg,ussu.firstaid@surrey.ac.uk,https://surreyunion.org/FirstAidSociety
Surrey Islamic Society,https://my.ussu.co.uk/activity/PublishingImages/Islamic.jpg,ussu.islamic@surrey.ac.uk,https://surreyunion.org/IslamicSociety
Surrey Vet Band,,ussu.surreyvetband@surrey.ac.uk,http://surreyunion.org/surreyvetband
Surrey Video Gaming Society,https://my.ussu.co.uk/activity/PublishingImages/Logos/SVGS_logo.png,ussu.svgs@surrey.ac.uk,https://surreyunion.org/SurreyVideoGamesSociety
Swimming,https://my.ussu.co.uk/activity/PublishingImages/Logos/Swimming%20-%20SSPSportsIcons.jpg,ussu.swimming@surrey.ac.uk,https://surreyunion.org/Swimming
Table Tennis,https://my.ussu.co.uk/activity/PublishingImages/Logos/Table%20Tennis%20-%20SSPSportsIcons.jpg,Ussu.tabletennis@surrey.ac.uk,https://surreyunion.org/tabletennis
Taekwondo,https://my.ussu.co.uk/activity/PublishingImages/Logos/Taekwondo%20-%20SSPSportsIcons.jpg,Ussu.Taekwondo@surrey.ac.uk,https://surreyunion.org/Taekwondo
Tamil Society,https://my.ussu.co.uk/activity/PublishingImages/Logos/TamilSoc%20logo.jpg,ussu.tamil@surrey.ac.uk,https://surreyunion.org/TamilSociety/
Taylor Swift Society,https://my.ussu.co.uk/activity/_layouts/15/DocIdRedir.aspx?ID=USSU-2445-582,ussu.taylorswiftsoc@surrey.ac.uk,http://surreyunion.org/taylorswiftsociety
Tennis,https://my.ussu.co.uk/activity/PublishingImages/Logos/Tennis%20-%20SSPSportsIcons.jpg,Ussu.Tennis@surrey.ac.uk,https://surreyunion.org/tennis
Thai Society,https://my.ussu.co.uk/activity/resources/_layouts/15/DocIdRedir.aspx?ID=USSU-424-259,ussu.thaisoc@surrey.ac.uk,https://surreyunion.org/thaisociety/
The Stag,https://my.ussu.co.uk/activity/PublishingImages/Logos/The%20Stag%20Logo.jpg,ussu.thestag@surrey.ac.uk,https://surreyunion.org/TheStag
Theatre Society,https://my.ussu.co.uk/activity/_layouts/15/DocIdRedir.aspx?ID=USSU-2445-577,ussu.theatresoc@surrey.ac.uk,https://surreyunion.org/theatre
Touch Rugby,https://my.ussu.co.uk/activity/PublishingImages/Logos/Touch%20rugby.jpg,ussu.touchrugby@surrey.ac.uk,https://surreyunion.org/TouchRugby/
Trampoline,https://my.ussu.co.uk/activity/PublishingImages/logo-big-final-flat.jpg,Ussu.Trampoline@surrey.ac.uk,https://surreyunion.org/trampoline
Ukrainian Society,,ussu.ukrainiansoc@surrey.ac.uk,http://surreyunion.org/ukrainiansociety
Ultimate,https://my.ussu.co.uk/activity/PublishingImages/Logos/Ultimate%20Frisbee%20-%20SSPSportsIcons.jpg,Ussu.Ultimate@surrey.ac.uk,https://surreyunion.org/ultimate
VetSoc,https://my.ussu.co.uk/activity/PublishingImages/Logos/Vet.jpg,ussu.vetsoc@surrey.ac.uk,https://surreyunion.org/vetsoc
Volleyball,https://my.ussu.co.uk/activity/PublishingImages/Logos/Volleyball%20-%20SSPSportsIcons.jpg,Ussu.Volleyball@surrey.ac.uk,https://surreyunion.org/volleyball
Water Polo,https://my.ussu.co.uk/activity/PublishingImages/Logos/Waterpolo.jpg,ussu.waterpolo@surrey.ac.uk,https://surreyunion.org/waterpolo
West Indian Society,https://my.ussu.co.uk/activity/resources/PublishingImages/West%20Indian%20Soc%20Logo.png,ussu.westindiansoc@surrey.ac.uk,https://surreyunion.org/westindiansociety/
Women in Engineering,https://my.ussu.co.uk/activity/PublishingImages/Logos/WIE_Logo.jpg,ussu.wie@surrey.ac.uk,https://ussuwie.wixsite.com/surreywie
Yoga,https://my.ussu.co.uk/activity/PublishingImages/Yoga.jpeg,ussu.yoga@surrey.ac.uk,https://surreyunion.org/YogaSociety
ZOOSOC,https://my.ussu.co.uk/activity/PublishingImages/Logos/Zoo%20Soc%20logo.png,Ussu.zoosoc@surrey.ac.uk ,https://surreyunion.org/ZooSoc/
